"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","구분_강조"
목1동,11.29,10.55,381,382,397,기타
신정7동,11.27,21.20,382,63,397,기타
상계5동,11.26,11.23,383,373,397,기타
하계1동,11.23,12.32,384,338,397,기타
상계3·4동,11.14,11.07,385,376,397,기타
방학3동,11.02,9.56,386,387,397,기타
부암동,10.96,12.49,387,330,397,기타
창3동,10.90,11.67,388,363,397,기타
평창동,10.79,11.79,389,358,397,기타
삼각산동,10.59,10.73,390,380,397,기타
이문1동,10.58,14.94,391,219,397,기타
신정2동,10.22,10.02,393,384,397,기타
번3동,10.22,6.61,392,394,397,기타
중계4동,9.82,10.11,394,383,397,기타
명일2동,9.51,14.92,395,220,397,기타
대치1동,7.44,7.20,396,393,397,기타
중계본동,7.38,9.27,397,389,397,기타
